Critical (/d/-Exposure),Critical (Control),Filler,Pseudoword
oskuld,anka,allmän,nörsimerar
skillnad,hinna,snarare,överralka
choklad,virus,familjen,vissorens
livrädd,skrälla,förminska,kyllfaren
skepnad,kamma,samhälle,spåmisk
vemod,sila,massa,vilfråser
hemland,marin,sociala,flasera
samfund,fryshus,samman,haväras
härmed,spinna,infektion,samlemor
nomad,flisa,lärare,skinnamer
period,försöka,människor,fränna
offerlund,möhippa,föremål,snälmola
övervåld,kanonform,elever,förvaron
myriad,excellens,försöken,kärmenor
knivsudd,tjuvarna,överens,förfeckla
episod,skinskalle,lyssna,rölinkar
hemmavid,majonnäs,januari,köpynnor
husfasad,morkulla,nummer,målursena
sällskapshund,persiska,rörelse,morlören
loppmarknad,sommarspel,fenomen,invonen
marmelad,husera,varierar,tjulning
sinnesfrid,anonyma,normala,fjäserna
promenad,maximal,ämne,allsänning
överflöd,fysiker,försvinner,samjoner
mikrosekund,överföras,informera,affierar
olympiad,krönikören,armarna,anufera
medellivslängd,panorama,analysera,lyssvinner
kommunalråd,maskinerna,olja,läkermask
överhuvud,mejerier,formen,uppskira
överlevnad,recensioner,officiella,sojera
,,jämföra,römation
,,fyller,fönering
,,elva,fråmation
,,sommar,jomera
,,affärer,nymaljen
,,härifrån,skymlösa
,,förvisso,spallrivet
,,föreföll,råkanier
,,försvara,ljusönar
,,miljoner,knipackar
,,infinna,vessmaren
,,nävaron,hamsföring
,,halvår,axalän
,,ljusa,inlivna
,,innanför,fammårens
,,förhör,pommera
,,invånare,åfläppen
,,varifrån,skyjamsen
,,väsen,hälskrena
,,snälla,omsänare
,,seminarier,skillare
,,framhålla,filofyll
,,sovrum,svarmvisso
,,romaner,lomering
,,oroar,invaskin
,,mormor,lysskarna
,,lönerna,flövanning
,,examen,malvossa
,,filosofin,kyrkmänning
,,insulin,lackpenar
,,,myckskina
,,,ljullepilja
,,,femyrisk
,,,havskvare
,,,hamfylla
,,,vårsmenar
,,,åfreskar
,,,presionar
,,,mjöhusa
,,,roklarner
,,,förskäckla
,,,urskecken
,,,vimmankalla
,,,malsera
,,,fårskining
,,,omfläskor
,,,somfera
,,,mörvinder
,,,lyxmare
,,,tjarfera
,,,persifera
,,,värskappa
,,,fyrskovar
,,,hurmarna
,,,förlinna
,,,helöppsin
,,,klåvare
,,,marsifen
,,,mikenspån
,,,skrivinar
